"","modality","type","period","brain_measure","estimate","SE","DF","t","p","effect","sig","sig_level","brain_measure_name","subtype"
"18","vision","pain","stim","aIns_L",0.006,0.031,2916.61,0.18,0.854,"stim_int",FALSE,"","Left aIns","pain_other"
"19","pain","pain","stim","aIns_R",0.076,0.028,2904.35,2.68,0.007,"stim_int",TRUE,"**","Right aIns","pain_other"
"20","vision","pain","stim","aIns_R",-0.01,0.031,2958.62,-0.33,0.743,"stim_int",FALSE,"","Right aIns","pain_other"
"21","pain","pain","stim","aMCC_MPFC",0.109,0.028,2905.39,3.92,0,"stim_int",TRUE,"***","aMCC","pain_percept"
"22","vision","pain","stim","aMCC_MPFC",0.014,0.031,2950.76,0.46,0.643,"stim_int",FALSE,"","aMCC","pain_percept"
"23","pain","pain","stim","s1_handplus_L",0.133,0.027,2908.47,5,0,"stim_int",TRUE,"***","Left S1 hand","pain_other"
"24","vision","pain","stim","s1_handplus_L",0.011,0.03,2956.49,0.37,0.713,"stim_int",FALSE,"","Left S1 hand","pain_other"
"25","pain","pain","stim","s1_handplus_R",0.117,0.026,2948.23,4.49,0,"stim_int",TRUE,"***","Right S1 hand","pain_other"
"26","vision","pain","stim","s1_handplus_R",-0.021,0.031,2946.47,-0.69,0.489,"stim_int",FALSE,"","Right S1 hand","pain_other"
"27","pain","higher_level","stim","Ctx_IPS1_L",0.054,0.029,2948.64,1.87,0.061,"stim_int",FALSE,"","Left IPS","visual_higher_level"
"28","vision","higher_level","stim","Ctx_IPS1_L",0.012,0.029,2958.68,0.4,0.691,"stim_int",FALSE,"","Left IPS","visual_higher_level"
"29","pain","higher_level","stim","Ctx_11l_L",-0.025,0.03,2904.47,-0.85,0.394,"stim_int",FALSE,"","Left mid-lateral OFC","pain_higher_level"
"30","vision","higher_level","stim","Ctx_11l_L",-0.026,0.031,2957.96,-0.85,0.396,"stim_int",FALSE,"","Left mid-lateral OFC","pain_higher_level"
"31","pain","higher_level","stim","Ctx_IPS1_R",0.021,0.03,2906.99,0.69,0.488,"stim_int",FALSE,"","Right IPS","visual_higher_level"
"32","vision","higher_level","stim","Ctx_IPS1_R",0.004,0.029,2956.73,0.14,0.891,"stim_int",FALSE,"","Right IPS","visual_higher_level"
"33","pain","higher_level","stim","Ctx_p9_46v_R",0.021,0.03,2948.37,0.72,0.473,"stim_int",FALSE,"","Right dlPFC","pain_higher_level"
"34","vision","higher_level","stim","Ctx_p9_46v_R",0.041,0.03,2954.5,1.36,0.174,"stim_int",FALSE,"","Right dlPFC","pain_higher_level"
"35","pain","higher_level","stim","Ctx_11l_R",-0.009,0.03,2948.45,-0.31,0.757,"stim_int",FALSE,"","Right mid-lateral OFC","pain_higher_level"
"36","vision","higher_level","stim","Ctx_11l_R",0.003,0.031,2949.65,0.08,0.934,"stim_int",FALSE,"","Right mid-lateral OFC","pain_higher_level"
"37","pain","higher_level","stim","NAc_shell_like_R",0.026,0.03,2907.94,0.87,0.384,"stim_int",FALSE,"","Right NAc shell","pain_higher_level"
"38","vision","higher_level","stim","NAc_shell_like_R",-0.001,0.031,2959.54,-0.03,0.977,"stim_int",FALSE,"","Right NAc shell","pain_higher_level"
"39","pain","higher_level","stim","NAc_core_like_R",0.071,0.029,2904.85,2.39,0.017,"stim_int",TRUE,"*","Right NAc core","pain_higher_level"
"40","vision","higher_level","stim","NAc_core_like_R",0.014,0.031,2961.2,0.45,0.654,"stim_int",FALSE,"","Right NAc core","pain_higher_level"
"41","pain","higher_level","stim","NAc_shell_like_L",0.045,0.03,2948.25,1.51,0.131,"stim_int",FALSE,"","Left NAc shell","pain_higher_level"
"42","vision","higher_level","stim","NAc_shell_like_L",0.01,0.031,2965.43,0.33,0.74,"stim_int",FALSE,"","Left NAc shell","pain_higher_level"
"43","pain","higher_level","stim","NAc_core_like_L",0.033,0.03,2947.91,1.1,0.273,"stim_int",FALSE,"","Left NAc core","pain_higher_level"
"44","vision","higher_level","stim","NAc_core_like_L",0.026,0.031,2968.73,0.85,0.398,"stim_int",FALSE,"","Left NAc core","pain_higher_level"
"45","pain","higher_level","stim","Ctx_8C_L_and_Ctx_46_L",0.098,0.03,2948.47,3.31,0.001,"stim_int",TRUE,"**","Left dlPFC","pain_higher_level"
"46","vision","higher_level","stim","Ctx_8C_L_and_Ctx_46_L",0.016,0.031,2952.56,0.53,0.595,"stim_int",FALSE,"","Left dlPFC","pain_higher_level"
"47","pain","visual","stim","Ctx_V1_L",0.108,0.029,2908.45,3.78,0,"stim_int",TRUE,"***","Left V1","visual_early_percept"
"48","vision","visual","stim","Ctx_V1_L",0.053,0.029,2950.96,1.83,0.067,"stim_int",FALSE,"","Left V1","visual_early_percept"
"49","pain","visual","stim","Ctx_V2_L",0.111,0.029,2948.39,3.88,0,"stim_int",TRUE,"***","Left V2","visual_early_percept"
"50","vision","visual","stim","Ctx_V2_L",0.064,0.029,2952.96,2.2,0.028,"stim_int",TRUE,"*","Left V2","visual_early_percept"
"51","pain","visual","stim","Ctx_V3_L",0.09,0.028,2908.65,3.18,0.001,"stim_int",TRUE,"**","Left V3","pain_early_percept"
"52","vision","visual","stim","Ctx_V3_L",0.067,0.028,2955.89,2.39,0.017,"stim_int",TRUE,"*","Left V3","pain_early_percept"
"53","pain","visual","stim","Ctx_V4_L",0.05,0.029,2909.06,1.73,0.084,"stim_int",FALSE,"","Left V4","pain_early_percept"
"54","vision","visual","stim","Ctx_V4_L",0.02,0.025,2959.45,0.81,0.421,"stim_int",FALSE,"","Left V4","pain_early_percept"
"55","pain","visual","stim","Ctx_V3A_L",0.106,0.029,2903.01,3.63,0,"stim_int",TRUE,"***","Left V3A","visual_other"
"56","vision","visual","stim","Ctx_V3A_L",0.043,0.028,2955.51,1.57,0.115,"stim_int",FALSE,"","Left V3A","visual_other"
"57","pain","visual","stim","Ctx_V3B_L",0.057,0.029,2948.4,1.95,0.051,"stim_int",FALSE,"","Left V3B","visual_other"
"58","vision","visual","stim","Ctx_V3B_L",0.007,0.028,2960.86,0.24,0.811,"stim_int",FALSE,"","Left V3B","visual_other"
"59","pain","visual","stim","Ctx_MT_L",0.103,0.029,2947.69,3.6,0,"stim_int",TRUE,"***","Left V5 (MT)","pain_early_percept"
"60","vision","visual","stim","Ctx_MT_L",-0.018,0.029,2961.1,-0.63,0.531,"stim_int",FALSE,"","Left V5 (MT)","pain_early_percept"
"61","pain","visual","stim","Ctx_VMV1_L",0.094,0.029,2948.28,3.2,0.001,"stim_int",TRUE,"**","Left ventro-medial V1","visual_other"
"62","vision","visual","stim","Ctx_VMV1_L",0.007,0.03,2915.63,0.25,0.806,"stim_int",FALSE,"","Left ventro-medial V1","visual_other"
"63","pain","visual","stim","Ctx_VMV3_L",0.061,0.029,2948.24,2.14,0.033,"stim_int",TRUE,"*","Left ventro-medial V3","visual_other"
"64","vision","visual","stim","Ctx_VMV3_L",0.027,0.028,2962.73,0.98,0.326,"stim_int",FALSE,"","Left ventro-medial V3","visual_other"
"65","pain","visual","stim","Ctx_V4t_L",0.05,0.029,2947.29,1.73,0.084,"stim_int",FALSE,"","Left V4t","visual_other"
"66","vision","visual","stim","Ctx_V4t_L",-0.002,0.027,2961.34,-0.07,0.945,"stim_int",FALSE,"","Left V4t","visual_other"
"67","pain","visual","stim","Ctx_V3CD_L",0.044,0.029,2906.95,1.51,0.132,"stim_int",FALSE,"","Left V3CD","visual_other"
"68","vision","visual","stim","Ctx_V3CD_L",0.001,0.026,2960.57,0.06,0.955,"stim_int",FALSE,"","Left V3CD","visual_other"
"69","pain","visual","stim","Ctx_VMV2_L",0.051,0.029,2948.32,1.73,0.084,"stim_int",FALSE,"","Left ventro-medial V2","visual_other"
"70","vision","visual","stim","Ctx_VMV2_L",-0.021,0.029,2959.16,-0.73,0.466,"stim_int",FALSE,"","Left ventro-medial V2","visual_other"
"71","pain","visual","stim","Ctx_V1_R",0.108,0.029,2908.83,3.77,0,"stim_int",TRUE,"***","Right V1","visual_early_percept"
"72","vision","visual","stim","Ctx_V1_R",0.059,0.029,2946.97,2.04,0.041,"stim_int",TRUE,"*","Right V1","visual_early_percept"
"73","pain","visual","stim","Ctx_V2_R",0.121,0.029,2908.99,4.21,0,"stim_int",TRUE,"***","Right V2","visual_early_percept"
"74","vision","visual","stim","Ctx_V2_R",0.054,0.028,2956.55,1.89,0.058,"stim_int",FALSE,"","Right V2","visual_early_percept"
"75","pain","visual","stim","Ctx_V3_R",0.076,0.029,2908.59,2.66,0.008,"stim_int",TRUE,"**","Right V3","pain_early_percept"
"76","vision","visual","stim","Ctx_V3_R",0.055,0.027,2961.27,2,0.046,"stim_int",TRUE,"*","Right V3","pain_early_percept"
"77","pain","visual","stim","Ctx_V4_R",0.05,0.029,2908.88,1.72,0.085,"stim_int",FALSE,"","Right V4","pain_early_percept"
"78","vision","visual","stim","Ctx_V4_R",0.035,0.027,2953.52,1.3,0.193,"stim_int",FALSE,"","Right V4","pain_early_percept"
"79","pain","visual","stim","Ctx_V3A_R",0.061,0.028,2907.43,2.17,0.03,"stim_int",TRUE,"*","Right V3A","visual_other"
"80","vision","visual","stim","Ctx_V3A_R",0.041,0.027,2958.02,1.54,0.124,"stim_int",FALSE,"","Right V3A","visual_other"
"81","pain","visual","stim","Ctx_V3B_R",0.023,0.029,2948.2,0.79,0.43,"stim_int",FALSE,"","Right V3B","visual_other"
"82","vision","visual","stim","Ctx_V3B_R",0.033,0.029,2961.94,1.13,0.26,"stim_int",FALSE,"","Right V3B","visual_other"
"83","pain","visual","stim","Ctx_MT_R",0.084,0.029,2938.14,2.9,0.004,"stim_int",TRUE,"**","Right V5 (MT)","pain_early_percept"
"84","vision","visual","stim","Ctx_MT_R",-0.003,0.029,2956.98,-0.1,0.922,"stim_int",FALSE,"","Right V5 (MT)","pain_early_percept"
"85","pain","visual","stim","Ctx_VMV1_R",0.098,0.029,2907.07,3.34,0.001,"stim_int",TRUE,"**","Right ventro-medial V1","visual_other"
"86","vision","visual","stim","Ctx_VMV1_R",0.023,0.03,2955.58,0.79,0.432,"stim_int",FALSE,"","Right ventro-medial V1","visual_other"
"87","pain","visual","stim","Ctx_VMV3_R",0.073,0.028,2907.6,2.58,0.01,"stim_int",TRUE,"*","Right ventro-medial V3","visual_other"
"88","vision","visual","stim","Ctx_VMV3_R",0.033,0.028,2910.97,1.16,0.247,"stim_int",FALSE,"","Right ventro-medial V3","visual_other"
"89","pain","visual","stim","Ctx_V4t_R",0.053,0.031,249.52,1.69,0.092,"stim_int",FALSE,"","Right V4t","visual_other"
"90","vision","visual","stim","Ctx_V4t_R",0.001,0.029,2952.87,0.04,0.968,"stim_int",FALSE,"","Right V4t","visual_other"
"91","pain","visual","stim","Ctx_V3CD_R",0.015,0.029,2907.76,0.52,0.6,"stim_int",FALSE,"","Right V3CD","visual_other"
"92","vision","visual","stim","Ctx_V3CD_R",0.032,0.026,2946.23,1.23,0.219,"stim_int",FALSE,"","Right V3CD","visual_other"
"93","pain","visual","stim","Ctx_VMV2_R",0.063,0.029,2909.01,2.18,0.029,"stim_int",TRUE,"*","Right ventro-medial V2","visual_other"
"94","vision","visual","stim","Ctx_VMV2_R",0.018,0.03,234.83,0.58,0.564,"stim_int",FALSE,"","Right ventro-medial V2","visual_other"
"95","pain","visual","stim","Thal_Lateral_Geniculate_Nucleus_L",0.059,0.031,665.82,1.89,0.059,"stim_int",FALSE,"","Left LGN","visual_early_percept"
"96","vision","visual","stim","Thal_Lateral_Geniculate_Nucleus_L",-0.03,0.031,2963.74,-0.97,0.332,"stim_int",FALSE,"","Left LGN","visual_early_percept"
"97","pain","visual","stim","Thal_Lateral_Geniculate_Nucleus_R",0.098,0.03,2948.62,3.25,0.001,"stim_int",TRUE,"**","Right LGN","visual_early_percept"
"98","vision","visual","stim","Thal_Lateral_Geniculate_Nucleus_R",0.024,0.031,2926.39,0.78,0.438,"stim_int",FALSE,"","Right LGN","visual_early_percept"
"99","pain","neuromarker","cue","nps",0.015,0.029,2880.09,0.5,0.614,"stim_int",FALSE,"","NPS","pain_neuromarker"
"100","vision","neuromarker","cue","nps",-0.03,0.03,2954.22,-1,0.318,"stim_int",FALSE,"","NPS","pain_neuromarker"
"101","pain","neuromarker","cue","siips",-0.059,0.029,2917.07,-2.02,0.043,"stim_int",TRUE,"*","SIIPS","pain_neuromarker"
"102","vision","neuromarker","cue","siips",-0.04,0.031,2939.38,-1.3,0.194,"stim_int",FALSE,"","SIIPS","pain_neuromarker"
"103","pain","pain","cue","Thal_VPLM_R",-0.016,0.03,2939.07,-0.52,0.604,"stim_int",FALSE,"","Right VPL/VPM Thal","pain_early_percept"
"104","vision","pain","cue","Thal_VPLM_R",-0.045,0.031,2957.52,-1.45,0.146,"stim_int",FALSE,"","Right VPL/VPM Thal","pain_early_percept"
"105","pain","pain","cue","Thal_VPLM_L",-0.002,0.03,2898.45,-0.08,0.938,"stim_int",FALSE,"","Left VPL/VPM Thal","pain_early_percept"
"106","vision","pain","cue","Thal_VPLM_L",-0.038,0.03,2964.39,-1.27,0.205,"stim_int",FALSE,"","Left VPL/VPM Thal","pain_early_percept"
"107","pain","pain","cue","Thal_MD",-0.026,0.03,1932.06,-0.87,0.386,"stim_int",FALSE,"","Med Thal","pain_percept"
"108","vision","pain","cue","Thal_MD",0.009,0.03,2958.37,0.3,0.768,"stim_int",FALSE,"","Med Thal","pain_percept"
"109","pain","pain","cue","Bstem_PAG",0.041,0.031,2932.78,1.33,0.185,"stim_int",FALSE,"","PAG","pain_percept"
"110","vision","pain","cue","Bstem_PAG",0.011,0.031,2962.69,0.37,0.714,"stim_int",FALSE,"","PAG","pain_percept"
"111","pain","pain","cue","dpIns_L",0.017,0.029,2880.89,0.58,0.559,"stim_int",FALSE,"","Left dpIns","pain_early_percept"
"112","vision","pain","cue","dpIns_L",-0.034,0.03,2954.45,-1.12,0.263,"stim_int",FALSE,"","Left dpIns","pain_early_percept"
"113","pain","pain","cue","dpIns_R",0.027,0.029,2879.85,0.91,0.365,"stim_int",FALSE,"","Right dpIns","pain_early_percept"
"114","vision","pain","cue","dpIns_R",-0.051,0.031,2955.67,-1.66,0.098,"stim_int",FALSE,"","Right dpIns","pain_early_percept"
"115","pain","pain","cue","aIns_L",0.013,0.029,2884.67,0.46,0.643,"stim_int",FALSE,"","Left aIns","pain_other"
"116","vision","pain","cue","aIns_L",-0.003,0.031,1916.37,-0.11,0.913,"stim_int",FALSE,"","Left aIns","pain_other"
"117","pain","pain","cue","aIns_R",-0.01,0.029,2885.98,-0.35,0.728,"stim_int",FALSE,"","Right aIns","pain_other"
"118","vision","pain","cue","aIns_R",0.027,0.03,2917.73,0.89,0.372,"stim_int",FALSE,"","Right aIns","pain_other"
"119","pain","pain","cue","aMCC_MPFC",-0.005,0.029,2885.72,-0.18,0.858,"stim_int",FALSE,"","aMCC","pain_percept"
"120","vision","pain","cue","aMCC_MPFC",-0.013,0.03,2951.25,-0.42,0.678,"stim_int",FALSE,"","aMCC","pain_percept"
"121","pain","pain","cue","s1_handplus_L",0.029,0.029,2931.83,1.01,0.314,"stim_int",FALSE,"","Left S1 hand","pain_other"
"122","vision","pain","cue","s1_handplus_L",-0.02,0.03,2959.8,-0.67,0.502,"stim_int",FALSE,"","Left S1 hand","pain_other"
"123","pain","pain","cue","s1_handplus_R",0.036,0.029,2932.74,1.24,0.216,"stim_int",FALSE,"","Right S1 hand","pain_other"
"124","vision","pain","cue","s1_handplus_R",-0.034,0.03,2955.88,-1.11,0.265,"stim_int",FALSE,"","Right S1 hand","pain_other"
"125","pain","higher_level","cue","Ctx_IPS1_L",0.02,0.031,244.72,0.64,0.523,"stim_int",FALSE,"","Left IPS","visual_higher_level"
"126","vision","higher_level","cue","Ctx_IPS1_L",0.007,0.03,2962.65,0.24,0.808,"stim_int",FALSE,"","Left IPS","visual_higher_level"
"127","pain","higher_level","cue","Ctx_11l_L",-0.029,0.032,256.36,-0.91,0.364,"stim_int",FALSE,"","Left mid-lateral OFC","pain_higher_level"
"128","vision","higher_level","cue","Ctx_11l_L",-0.019,0.03,2944.46,-0.64,0.524,"stim_int",FALSE,"","Left mid-lateral OFC","pain_higher_level"
"129","pain","higher_level","cue","Ctx_IPS1_R",0.019,0.03,290.09,0.63,0.529,"stim_int",FALSE,"","Right IPS","visual_higher_level"
"130","vision","higher_level","cue","Ctx_IPS1_R",-0.038,0.03,2960.66,-1.26,0.207,"stim_int",FALSE,"","Right IPS","visual_higher_level"
"131","pain","higher_level","cue","Ctx_p9_46v_R",-0.026,0.03,294.44,-0.87,0.386,"stim_int",FALSE,"","Right dlPFC","pain_higher_level"
"132","vision","higher_level","cue","Ctx_p9_46v_R",0.035,0.031,2961.87,1.14,0.256,"stim_int",FALSE,"","Right dlPFC","pain_higher_level"
"133","pain","higher_level","cue","Ctx_11l_R",-0.025,0.034,182.66,-0.73,0.464,"stim_int",FALSE,"","Right mid-lateral OFC","pain_higher_level"
"134","vision","higher_level","cue","Ctx_11l_R",-0.004,0.03,2946.17,-0.15,0.883,"stim_int",FALSE,"","Right mid-lateral OFC","pain_higher_level"
"135","pain","higher_level","cue","NAc_shell_like_R",0.038,0.031,2934.06,1.21,0.225,"stim_int",FALSE,"","Right NAc shell","pain_higher_level"
"136","vision","higher_level","cue","NAc_shell_like_R",0.01,0.034,217.61,0.31,0.757,"stim_int",FALSE,"","Right NAc shell","pain_higher_level"
"137","pain","higher_level","cue","NAc_core_like_R",-0.017,0.03,2939.82,-0.57,0.571,"stim_int",FALSE,"","Right NAc core","pain_higher_level"
"138","vision","higher_level","cue","NAc_core_like_R",-0.032,0.031,2924.68,-1.04,0.3,"stim_int",FALSE,"","Right NAc core","pain_higher_level"
"139","pain","higher_level","cue","NAc_shell_like_L",0.009,0.031,2930.38,0.28,0.782,"stim_int",FALSE,"","Left NAc shell","pain_higher_level"
"140","vision","higher_level","cue","NAc_shell_like_L",-0.023,0.031,2917.6,-0.75,0.454,"stim_int",FALSE,"","Left NAc shell","pain_higher_level"
"141","pain","higher_level","cue","NAc_core_like_L",-0.048,0.031,2932.5,-1.58,0.113,"stim_int",FALSE,"","Left NAc core","pain_higher_level"
"142","vision","higher_level","cue","NAc_core_like_L",0.022,0.031,2920.25,0.73,0.467,"stim_int",FALSE,"","Left NAc core","pain_higher_level"
"143","pain","higher_level","cue","Ctx_8C_L_and_Ctx_46_L",-0.006,0.028,2887.01,-0.23,0.822,"stim_int",FALSE,"","Left dlPFC","pain_higher_level"
"144","vision","higher_level","cue","Ctx_8C_L_and_Ctx_46_L",0.033,0.03,2952.05,1.08,0.28,"stim_int",FALSE,"","Left dlPFC","pain_higher_level"
"145","pain","visual","cue","Ctx_V1_L",0.005,0.029,2897.79,0.19,0.852,"stim_int",FALSE,"","Left V1","visual_early_percept"
"146","vision","visual","cue","Ctx_V1_L",0.006,0.03,2958.69,0.21,0.835,"stim_int",FALSE,"","Left V1","visual_early_percept"
"147","pain","visual","cue","Ctx_V2_L",0.001,0.029,2942.1,0.05,0.963,"stim_int",FALSE,"","Left V2","visual_early_percept"
"148","vision","visual","cue","Ctx_V2_L",-0.005,0.03,2961.37,-0.16,0.877,"stim_int",FALSE,"","Left V2","visual_early_percept"
"149","pain","visual","cue","Ctx_V3_L",-0.019,0.029,2941.88,-0.65,0.513,"stim_int",FALSE,"","Left V3","pain_early_percept"
"150","vision","visual","cue","Ctx_V3_L",0.013,0.03,2961.55,0.43,0.666,"stim_int",FALSE,"","Left V3","pain_early_percept"
"151","pain","visual","cue","Ctx_V4_L",0.005,0.03,2937.47,0.16,0.872,"stim_int",FALSE,"","Left V4","pain_early_percept"
"152","vision","visual","cue","Ctx_V4_L",0.022,0.03,2963.71,0.71,0.475,"stim_int",FALSE,"","Left V4","pain_early_percept"
"153","pain","visual","cue","Ctx_V3A_L",0.002,0.029,2891.67,0.07,0.946,"stim_int",FALSE,"","Left V3A","visual_other"
"154","vision","visual","cue","Ctx_V3A_L",-0.006,0.03,2957.02,-0.21,0.837,"stim_int",FALSE,"","Left V3A","visual_other"
"155","pain","visual","cue","Ctx_V3B_L",0.015,0.029,2936.14,0.51,0.607,"stim_int",FALSE,"","Left V3B","visual_other"
"156","vision","visual","cue","Ctx_V3B_L",0.008,0.029,2956.33,0.27,0.786,"stim_int",FALSE,"","Left V3B","visual_other"
"157","pain","visual","cue","Ctx_MT_L",-0.002,0.028,2898.65,-0.08,0.939,"stim_int",FALSE,"","Left V5 (MT)","pain_early_percept"
"158","vision","visual","cue","Ctx_MT_L",-0.04,0.03,2957.37,-1.36,0.175,"stim_int",FALSE,"","Left V5 (MT)","pain_early_percept"
"159","pain","visual","cue","Ctx_VMV1_L",-0.028,0.03,2897.36,-0.96,0.339,"stim_int",FALSE,"","Left ventro-medial V1","visual_other"
"160","vision","visual","cue","Ctx_VMV1_L",0.021,0.03,2916.01,0.69,0.489,"stim_int",FALSE,"","Left ventro-medial V1","visual_other"
"161","pain","visual","cue","Ctx_VMV3_L",0.033,0.03,2933.82,1.11,0.267,"stim_int",FALSE,"","Left ventro-medial V3","visual_other"
"162","vision","visual","cue","Ctx_VMV3_L",0.041,0.03,2959.44,1.4,0.162,"stim_int",FALSE,"","Left ventro-medial V3","visual_other"
"163","pain","visual","cue","Ctx_V4t_L",0.011,0.029,2897.74,0.39,0.696,"stim_int",FALSE,"","Left V4t","visual_other"
"164","vision","visual","cue","Ctx_V4t_L",0.009,0.029,2960.29,0.32,0.752,"stim_int",FALSE,"","Left V4t","visual_other"
"165","pain","visual","cue","Ctx_V3CD_L",0.003,0.03,2895.58,0.09,0.928,"stim_int",FALSE,"","Left V3CD","visual_other"
"166","vision","visual","cue","Ctx_V3CD_L",0.016,0.029,2963,0.53,0.596,"stim_int",FALSE,"","Left V3CD","visual_other"
"167","pain","visual","cue","Ctx_VMV2_L",0,0.03,2934.82,0.01,0.99,"stim_int",FALSE,"","Left ventro-medial V2","visual_other"
"168","vision","visual","cue","Ctx_VMV2_L",0.024,0.03,2954.37,0.8,0.424,"stim_int",FALSE,"","Left ventro-medial V2","visual_other"
"169","pain","visual","cue","Ctx_V1_R",0.008,0.029,2932.96,0.26,0.792,"stim_int",FALSE,"","Right V1","visual_early_percept"
"170","vision","visual","cue","Ctx_V1_R",-0.006,0.03,2957.9,-0.19,0.85,"stim_int",FALSE,"","Right V1","visual_early_percept"
"171","pain","visual","cue","Ctx_V2_R",0.008,0.029,2939.2,0.27,0.79,"stim_int",FALSE,"","Right V2","visual_early_percept"
"172","vision","visual","cue","Ctx_V2_R",0.004,0.03,2961.83,0.14,0.892,"stim_int",FALSE,"","Right V2","visual_early_percept"
"173","pain","visual","cue","Ctx_V3_R",-0.005,0.029,2936.44,-0.16,0.873,"stim_int",FALSE,"","Right V3","pain_early_percept"
"174","vision","visual","cue","Ctx_V3_R",0.009,0.03,2961.25,0.31,0.76,"stim_int",FALSE,"","Right V3","pain_early_percept"
"175","pain","visual","cue","Ctx_V4_R",0.024,0.029,2925.22,0.82,0.413,"stim_int",FALSE,"","Right V4","pain_early_percept"
"176","vision","visual","cue","Ctx_V4_R",0.012,0.03,2952.95,0.4,0.688,"stim_int",FALSE,"","Right V4","pain_early_percept"
"177","pain","visual","cue","Ctx_V3A_R",-0.004,0.029,2892.69,-0.13,0.893,"stim_int",FALSE,"","Right V3A","visual_other"
"178","vision","visual","cue","Ctx_V3A_R",0.012,0.03,2955.73,0.42,0.677,"stim_int",FALSE,"","Right V3A","visual_other"
"179","pain","visual","cue","Ctx_V3B_R",0.018,0.029,2882.8,0.61,0.543,"stim_int",FALSE,"","Right V3B","visual_other"
"180","vision","visual","cue","Ctx_V3B_R",-0.016,0.029,2962.79,-0.53,0.596,"stim_int",FALSE,"","Right V3B","visual_other"
"181","pain","visual","cue","Ctx_MT_R",0.027,0.029,2935.12,0.96,0.338,"stim_int",FALSE,"","Right V5 (MT)","pain_early_percept"
"182","vision","visual","cue","Ctx_MT_R",-0.001,0.03,2917.68,-0.02,0.983,"stim_int",FALSE,"","Right V5 (MT)","pain_early_percept"
"183","pain","visual","cue","Ctx_VMV1_R",-0.017,0.03,2935.64,-0.59,0.555,"stim_int",FALSE,"","Right ventro-medial V1","visual_other"
"184","vision","visual","cue","Ctx_VMV1_R",-0.021,0.03,2956.14,-0.69,0.487,"stim_int",FALSE,"","Right ventro-medial V1","visual_other"
"185","pain","visual","cue","Ctx_VMV3_R",0.03,0.029,2939.98,1.01,0.311,"stim_int",FALSE,"","Right ventro-medial V3","visual_other"
"186","vision","visual","cue","Ctx_VMV3_R",0.037,0.03,2958.27,1.23,0.218,"stim_int",FALSE,"","Right ventro-medial V3","visual_other"
"187","pain","visual","cue","Ctx_V4t_R",0.005,0.029,2928.88,0.19,0.849,"stim_int",FALSE,"","Right V4t","visual_other"
"188","vision","visual","cue","Ctx_V4t_R",-0.019,0.03,2908.92,-0.63,0.529,"stim_int",FALSE,"","Right V4t","visual_other"
"189","pain","visual","cue","Ctx_V3CD_R",-0.023,0.029,2885.66,-0.81,0.416,"stim_int",FALSE,"","Right V3CD","visual_other"
"190","vision","visual","cue","Ctx_V3CD_R",0.002,0.03,2955.94,0.07,0.942,"stim_int",FALSE,"","Right V3CD","visual_other"
